,episodio,recompensa,distancia,pX,pY,pZ
0,1,24165,65.0,133.0,150.0,75.0
1,2,26028,63.0,63.0,150.0,91.0
2,3,12740,91.0,150.0,100.0,24.0
3,4,22316,69.0,150.0,118.0,56.0
4,5,-100000000,101.0,111.0,109.0,0.0
5,6,15369,81.0,34.0,115.0,144.0
6,7,12438,90.0,67.0,42.0,161.0
7,8,12820,89.0,49.0,68.0,166.0
8,9,61496,41.0,137.0,98.0,118.0
9,10,28410,60.0,76.0,150.0,122.0
10,11,24947,64.0,68.0,104.0,155.0
11,12,88279,34.0,120.0,124.0,113.0
12,13,48674,46.0,93.0,145.0,109.0
13,14,10853,97.0,83.0,18.0,149.0
14,15,55820,43.0,127.0,96.0,133.0
15,16,45932,47.0,98.0,105.0,147.0
16,17,46595,47.0,96.0,112.0,145.0
17,18,17313,76.0,42.0,125.0,143.0
18,19,47258,46.0,115.0,143.0,108.0
19,20,1265,324.0,-150.0,150.0,300.0
20,21,22956,66.0,133.0,106.0,43.0
21,22,38446,51.0,150.0,92.0,103.0
22,23,24934,63.0,150.0,71.0,75.0
23,24,27476,61.0,150.0,70.0,83.0
24,25,26587,61.0,150.0,66.0,93.0
25,26,8574,109.0,150.0,92.0,3.0
26,27,1078189,9.0,108.0,96.0,97.0
27,28,50896,45.0,130.0,96.0,67.0
28,29,694444,12.0,90.0,96.0,106.0
29,30,694444,12.0,89.0,96.0,102.0
30,31,1156378,10.0,92.0,96.0,104.0
31,32,6250000,4.0,99.0,96.0,101.0
32,33,65746,39.0,129.0,96.0,74.0
33,34,42233,49.0,51.0,96.0,101.0
34,35,69252,38.0,128.0,96.0,74.0
35,36,564545,14.0,112.0,96.0,95.0
36,37,25468,63.0,37.0,96.0,99.0
37,38,36982,52.0,49.0,96.0,106.0
38,39,826446,11.0,110.0,96.0,96.0
39,40,1881377,8.0,96.0,96.0,105.0
40,41,4000000,5.0,102.0,96.0,102.0
41,42,160000,25.0,77.0,96.0,110.0
42,43,111111,30.0,124.0,96.0,82.0
43,44,782445,12.0,111.0,96.0,96.0
